date;SP500;NASDAQ
2023-03-20-13-06;3947.43;12517.57
2023-03-20-13-07;3950.24;12524.96
2023-03-20-13-08;3950.00;12522.85
2023-03-20-13-09;3948.38;12515.10
2023-03-20-13-10;3949.31;12517.57
2023-03-20-13-11;3950.34;12520.91
2023-03-20-13-12;3949.96;12520.17
2023-03-20-13-13;3950.65;12524.08
2023-03-20-13-14;3950.49;12524.15
2023-03-20-13-15;3951.09;12528.78
2023-03-20-13-16;3953.06;12534.83
2023-03-20-13-17;3952.77;12534.88
2023-03-20-13-18;3951.49;12530.83
2023-03-20-13-19;3951.40;12529.88
2023-03-20-13-20;3952.43;12532.69
2023-03-20-13-21;3951.64;12529.29
2023-03-20-13-22;3950.14;12525.75
2023-03-20-13-23;3950.98;12527.62
2023-03-20-13-24;3951.67;12528.54
2023-03-20-13-25;3951.60;12530.59
2023-03-20-13-26;3951.41;12532.14
2023-03-20-13-27;3951.06;12532.02
2023-03-20-13-28;3949.76;12527.34
2023-03-20-13-29;3949.13;12524.08
2023-03-20-13-30;3948.51;12523.98
2023-03-20-13-31;3949.59;12527.11
2023-03-20-13-32;3950.69;12532.43
2023-03-20-13-33;3950.69;12532.82
2023-03-20-13-34;3950.92;12535.31
2023-03-20-13-35;3948.51;12527.71
2023-03-20-13-36;3947.31;12523.11
2023-03-20-13-37;3947.14;12524.74
2023-03-20-13-38;3946.83;12523.48
2023-03-20-13-39;3945.28;12519.34
2023-03-20-13-40;3947.71;12527.85
2023-03-20-13-41;3948.63;12530.20
2023-03-20-13-42;3951.06;12539.61
2023-03-20-13-43;3949.91;12537.90
2023-03-20-13-44;3949.35;12539.95
2023-03-20-13-45;3950.04;12542.74
2023-03-20-13-46;3947.82;12535.53
2023-03-20-13-47;3948.83;12540.33
2023-03-20-13-48;3947.13;12535.24
2023-03-20-13-49;3947.32;12536.10
2023-03-20-13-50;3948.31;12540.02
2023-03-20-13-51;3947.48;12538.78
2023-03-20-13-52;3944.96;12529.13
2023-03-20-13-53;3945.10;12531.64
2023-03-20-13-54;3945.31;12532.35
2023-03-20-13-55;3943.82;12527.69
2023-03-20-13-56;3945.37;12532.21
2023-03-20-13-57;3944.77;12529.53
2023-03-20-13-58;3944.28;12529.00
2023-03-20-13-59;3945.38;12533.01
2023-03-20-14-00;3945.90;12534.80
2023-03-20-14-01;3943.68;12526.21
2023-03-20-14-02;3944.35;12529.36
2023-03-20-14-03;3945.81;12533.97
2023-03-20-14-04;3943.17;12524.06
2023-03-20-14-05;3942.43;12523.59
2023-03-20-14-06;3941.37;12520.63
2023-03-20-14-07;3942.49;12522.87
2023-03-20-14-08;3941.02;12521.95
2023-03-20-14-09;3940.28;12519.06
2023-03-20-14-10;3939.90;12515.83
2023-03-20-14-11;3941.51;12520.82
2023-03-20-14-12;3943.33;12525.43
2023-03-20-14-13;3942.37;12524.17
2023-03-20-14-14;3941.44;12520.43
